ciudad,distrito,barrio,calle,precio_m2_distrito,precio_m2_barrio,precio_m2_calle
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,Casco histórico,2.2366083064279425,2.2366083064279425,2.717073170731707
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,Casco histórico,2.2366083064279425,2.2366083064279425,2.717073170731707
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,El pilar - bripac,2.2366083064279425,2.2366083064279425,1.9485046728971964
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,El pilar - bripac,2.2366083064279425,2.2366083064279425,1.9485046728971964
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,El pilar - bripac,2.2366083064279425,2.2366083064279425,1.9485046728971964
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,El pilar - bripac,2.2366083064279425,2.2366083064279425,1.9485046728971964
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,El pilar - bripac,2.2366083064279425,2.2366083064279425,1.9485046728971964
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,Ensanche,2.2366083064279425,2.2366083064279425,2.2439456824512534
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,Ensanche,2.2366083064279425,2.2366083064279425,2.2439456824512534
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,Ensanche,2.2366083064279425,2.2366083064279425,2.2439456824512534
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,Ensanche,2.2366083064279425,2.2366083064279425,2.2439456824512534
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,Ensanche,2.2366083064279425,2.2366083064279425,2.2439456824512534
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,Ensanche,2.2366083064279425,2.2366083064279425,2.2439456824512534
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,Ensanche,2.2366083064279425,2.2366083064279425,2.2439456824512534
Alcalá de Henares,Alcalá de Henares,Alcalá de Henares,Ensanche,2.2366083064279425,2.2366083064279425,2.2439456824512534
